scenario,ai_support,experiment_id,sprint_id,team_size,num_tasks,effective_backlog_quality,effective_handoff_quality,effective_meeting_fatigue,effective_morale,event_count,completed_tasks,incomplete_tasks,blocked_events,blocked_days,rework_events,avg_cycle_time_completed_only,avg_lead_time_completed_only,flow_efficiency,capacity_utilization
JLR-4D adaptado,IA alta,9.5,5.5,5.835989583333333,41.25,0.8312885416666667,0.82,0.13060989583333332,0.7159749999999999,0.5575,12.470364583333334,28.779635416666668,4.390260416666667,6.748020833333333,6.442395833333333,3.635622364147166,5.117333345777885,0.9026269424549759,0.9999338730480345
JLR-4D adaptado,IA moderada,9.5,5.5,5.844479166666667,41.25,0.7817515625000001,0.77,0.1301734375,0.7178255208333333,0.5476041666666667,11.80796875,29.44203125,5.051927083333333,8.1690625,7.766145833333334,3.7384015821860417,5.133264461000675,0.8899135768406609,0.9999330954437535
JLR-4D adaptado,Sin IA,9.5,5.5,5.83046875,41.25,0.731759375,0.72,0.13058385416666668,0.7150390625,0.5647916666666667,10.561041666666666,30.688958333333332,5.635989583333333,9.631041666666667,9.018489583333333,3.860374285786729,4.9715726293809155,0.8780202305976191,0.9999339123993229
JLR-4D sin adaptación,IA alta,9.5,5.5,5.81390625,41.25,0.8316807291666667,0.82,0.1308953125,0.711675,0.6756770833333333,8.158802083333333,33.091197916666665,7.594010416666666,19.830833333333334,9.67375,3.7007861060464733,4.821905210289533,0.8532506749444138,0.9999323226686508
JLR-4D sin adaptación,IA moderada,9.5,5.5,5.8225,41.25,0.7821723958333334,0.77,0.131115625,0.7121296874999999,0.6703125,7.27734375,33.97265625,8.876041666666667,23.179947916666666,11.552447916666667,3.7410734881680803,4.7917377915252235,0.8360433650696875,0.999858878968254
JLR-4D sin adaptación,Sin IA,9.5,5.5,5.822864583333334,41.25,0.7321890625,0.72,0.13080208333333335,0.7120895833333334,0.66375,6.395520833333333,34.854479166666664,10.25140625,26.768802083333334,13.534427083333334,3.76653074391733,4.572138161413257,0.8142567075765712,0.9997962239583335
Scrum 5 días,IA alta,9.5,5.5,5.8471875,41.25,0.8314567708333332,0.82,0.13038854166666666,0.7178239583333333,0.5547395833333333,15.295677083333333,25.954322916666666,3.5116666666666667,5.856614583333333,4.842760416666667,3.3582707705209276,5.298038058360111,0.9232208235136522,0.9998126674107143
Scrum 5 días,IA moderada,9.5,5.5,5.839791666666667,41.25,0.7818734375,0.77,0.13023854166666665,0.7175265625,0.55375,14.422604166666666,26.827395833333334,3.9813020833333335,6.58390625,5.787239583333333,3.4392689143792956,5.3109290848888016,0.9128304534175582,0.9998262710813492
Scrum 5 días,Sin IA,9.5,5.5,5.839583333333334,41.25,0.73175625,0.72,0.130278125,0.7162072916666666,0.5527083333333334,13.711145833333333,27.538854166666667,4.4904166666666665,7.380885416666667,6.8846875,3.5919225832196853,5.16012392108601,0.9031406265184919,0.9998484623015872
